sim_time, AUV_mk4?world_pose/position/z
50.514, -0.00195991
50.515, -0.00196002
50.516, -0.00196014
50.517, -0.00196025
50.518, -0.00196036
50.519, -0.00196048
50.52, -0.00196059
50.521, -0.0019607
50.522, -0.00196081
50.523, -0.00196093
50.524, -0.00196104
50.525, -0.00196115
50.526, -0.00196126
50.527, -0.00196137
50.528, -0.00196149
50.529, -0.0019616
50.53, -0.00196171
50.531, -0.00196182
50.532, -0.00196193
50.533, -0.00196204
50.534, -0.00196216
50.535, -0.00196227
50.536, -0.00196238
50.537, -0.00196249
50.538, -0.0019626
50.539, -0.00196271
50.54, -0.00196282
50.541, -0.00196293
50.542, -0.00196304
50.543, -0.00196315
50.544, -0.00196326
50.545, -0.00196337
50.546, -0.00196348
50.547, -0.00196359
50.548, -0.0019637
50.549, -0.00196381
50.55, -0.00196392
50.551, -0.00196403
50.552, -0.00196414
50.553, -0.00196425
50.554, -0.00196436
50.555, -0.00196447
50.556, -0.00196458
50.557, -0.00196469
50.558, -0.0019648
50.559, -0.00196491
50.56, -0.00196501
50.561, -0.00196512
50.562, -0.00196523
50.563, -0.00196534
50.564, -0.00196545
50.565, -0.00196556
50.566, -0.00196567
50.567, -0.00196577
50.568, -0.00196588
50.569, -0.00196599
50.57, -0.0019661
50.571, -0.0019662
50.572, -0.00196631
50.573, -0.00196642
50.574, -0.00196653
50.575, -0.00196663
50.576, -0.00196674
50.577, -0.00196685
50.578, -0.00196695
50.579, -0.00196706
50.58, -0.00196717
50.581, -0.00196727
50.582, -0.00196738
50.583, -0.00196749
50.584, -0.00196759
50.585, -0.0019677
50.586, -0.00196781
50.587, -0.00196791
50.588, -0.00196802
50.589, -0.00196812
50.59, -0.00196823
50.591, -0.00196834
50.592, -0.00196844
50.593, -0.00196855
50.594, -0.00196865
50.595, -0.00196876
50.596, -0.00196886
50.597, -0.00196897
50.598, -0.00196907
50.599, -0.00196918
50.6, -0.00196928
50.601, -0.00196939
50.602, -0.00196949
50.603, -0.0019696
50.604, -0.0019697
50.605, -0.0019698
50.606, -0.00196991
50.607, -0.00197001
50.608, -0.00197012
50.609, -0.00197022
50.61, -0.00197033
50.611, -0.00197043
50.612, -0.00197053
50.613, -0.00197064
50.614, -0.00197074
50.615, -0.00197085
50.616, -0.00197095
50.617, -0.00197105
50.618, -0.00197116
50.619, -0.00197126
50.62, -0.00197137
50.621, -0.00197147
50.622, -0.00197157
50.623, -0.00197168
50.624, -0.00197178
50.625, -0.00197189
50.626, -0.00197199
50.627, -0.00197209
50.628, -0.0019722
50.629, -0.0019723
50.63, -0.0019724
50.631, -0.00197251
50.632, -0.00197261
50.633, -0.00197272
50.634, -0.00197282
50.635, -0.00197292
50.636, -0.00197303
50.637, -0.00197313
50.638, -0.00197323
50.639, -0.00197334
50.64, -0.00197344
50.641, -0.00197354
50.642, -0.00197365
50.643, -0.00197375
50.644, -0.00197386
50.645, -0.00197396
50.646, -0.00197406
50.647, -0.00197417
50.648, -0.00197427
50.649, -0.00197437
50.65, -0.00197448
50.651, -0.00197458
50.652, -0.00197468
50.653, -0.00197479
50.654, -0.00197489
50.655, -0.00197499
50.656, -0.0019751
50.657, -0.0019752
50.658, -0.0019753
50.659, -0.00197541
50.66, -0.00197551
50.661, -0.00197561
50.662, -0.00197572
50.663, -0.00197582
50.664, -0.00197592
50.665, -0.00197603
50.666, -0.00197613
50.667, -0.00197623
50.668, -0.00197634
50.669, -0.00197644
50.67, -0.00197654
50.671, -0.00197665
50.672, -0.00197675
50.673, -0.00197685
50.674, -0.00197696
50.675, -0.00197706
50.676, -0.00197716
50.677, -0.00197726
50.678, -0.00197737
50.679, -0.00197747
50.68, -0.00197757
50.681, -0.00197768
50.682, -0.00197778
50.683, -0.00197788
50.684, -0.00197799
50.685, -0.00197809
50.686, -0.00197819
50.687, -0.00197829
50.688, -0.0019784
50.689, -0.0019785
50.69, -0.0019786
50.691, -0.00197871
50.692, -0.00197881
50.693, -0.00197891
50.694, -0.00197901
50.695, -0.00197912
50.696, -0.00197922
50.697, -0.00197932
50.698, -0.00197942
50.699, -0.00197953
50.7, -0.00197963
50.701, -0.00197973
50.702, -0.00197984
50.703, -0.00197994
50.704, -0.00198004
50.705, -0.00198014
50.706, -0.00198025
50.707, -0.00198035
50.708, -0.00198046
50.709, -0.00198057
50.71, -0.00198067
50.711, -0.00198078
50.712, -0.00198089
50.713, -0.001981
50.714, -0.0019811
50.715, -0.00198121
50.716, -0.00198132
50.717, -0.00198143
50.718, -0.00198154
50.719, -0.00198165
50.72, -0.00198176
50.721, -0.00198186
50.722, -0.00198197
50.723, -0.00198208
50.724, -0.00198219
50.725, -0.0019823
50.726, -0.00198241
50.727, -0.00198252
50.728, -0.00198263
50.729, -0.00198274
50.73, -0.00198285
50.731, -0.00198297
50.732, -0.00198308
50.733, -0.00198319
50.734, -0.00198331
50.735, -0.00198342
50.736, -0.00198354
50.737, -0.00198365
50.738, -0.00198377
50.739, -0.00198388
50.74, -0.001984
50.741, -0.00198412
50.742, -0.00198423
50.743, -0.00198435
50.744, -0.00198447
50.745, -0.00198459
50.746, -0.00198471
50.747, -0.00198482
50.748, -0.00198494
50.749, -0.00198506
50.75, -0.00198518
50.751, -0.0019853
50.752, -0.00198543
50.753, -0.00198555
50.754, -0.00198567
50.755, -0.00198579
50.756, -0.00198591
50.757, -0.00198604
50.758, -0.00198616
50.759, -0.00198628
50.76, -0.00198641
50.761, -0.00198653
50.762, -0.00198666
50.763, -0.00198678
50.764, -0.00198691
50.765, -0.00198703
50.766, -0.00198716
50.767, -0.00198729
50.768, -0.00198741
50.769, -0.00198754
50.77, -0.00198767
50.771, -0.0019878
